2016-08-20T04:00:00Z,"Obamacare Options? In Many Parts of Country, Only One Insurer Will Remain",By REED ABELSON and MARGOT SANGER-KATZ,Plan failures and the recent decision by some of the largest companies to exit markets are leaving large areas of the country with functional monopolies.
2016-08-23T04:00:00Z,Think Your Obamacare Plan Will Be Like Employer Coverage? Think Again,By MARGOT SANGER-KATZ,Market shifts and exits of large insurers are leaving Obamacare customers with no-frills plans that limit their choices of doctors and hospitals.
2016-08-19T04:00:00Z,Obamacare Hits a Bump,By PAUL KRUGMAN,But it shouldn’t be hard to fix.
2016-08-18T21:37:28Z,U.S. Health Agency Weighs Rules on Outside Payments for Obamacare,By REUTERS,A U.S. government health agency on Thursday said that it was considering new rules to prevent healthcare providers or related groups from steering patients into Obamacare individual insurance plans instead of Medicare or Medicaid in order to receive higher payments for medical services.
2016-08-18T04:00:00Z,"As Insurers Like Aetna Balk, U.S. Makes New Push to Bolster Health Care Act",By ROBERT PEAR and REED ABELSON,An uneasy truce between the government and insurers appears to be fraying as some of the large companies say they are leaving or sharply scaling back.
2016-08-17T14:30:48Z,Aetna Warned It Would Cut Obamacare if Humana Deal Was Blocked,By REUTERS,"Aetna Inc warned in July that it would exit much of the individual Obamacare health insurance market if the government challenged its deal to buy rival Humana Inc, according to a letter it sent to the U.S. Department of Justice."
2016-08-16T09:59:47Z,10 Things to Know for Wednesday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Wednesday:"
2016-08-16T00:21:18Z,Aetna Pulls Back on Obamacare Health Insurance Plans in 2017,By REUTERS,"Aetna Inc, the No. 3 U.S. health insurer, on Monday said that due to persistent financial losses on Obamacare plans, it will sell individual insurance on the government-run online marketplaces in only four states next year, down from the current 15 states."
2016-08-15T20:26:45Z,"Lies, Lying Liars, and Donald Trump",By PAUL KRUGMAN,
2016-08-13T06:30:57Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-08-11T07:51:37Z,WHY IT MATTERS: Health Care,By THE ASSOCIATED PRESS,"THE ISSUE: About 9 in 10 Americans now have health insurance, more than at any time in history. But progress is incomplete, and the future far from certain. Millions remain uninsured. Quality is still uneven. Costs are high and trending up again. Medicare's insolvency is two years closer, now projected in 2028. Every family has a stake."
2016-08-09T16:08:41Z,Beyond 'Obamacare': State Initiatives Refocus Health Debate,By THE ASSOCIATED PRESS,"Moving beyond ""Obamacare,"" political activists are looking to state ballot questions to refocus the nation's long-running debate over government's role in health care."
2016-08-09T04:00:00Z,Obamacare Appears to Be Making People Healthier,By MARGOT SANGER-KATZ,"A new survey of low-income people isn’t perfect, but it suggests that new health insurance options have improved people’s health."
2016-08-05T04:00:00Z,No Right Turn,By PAUL KRUGMAN,Hillary Clinton shouldn’t give disaffected Republicans a less progressive agenda.
2016-07-28T00:00:00Z,Fraud and Other Threats to Medicare,By THE EDITORIAL BOARD,"Weakening Obamacare would weaken the fight against Medicare fraud and, in the process, damage the quality of care."
2016-07-27T06:17:13Z,"Anthem to Fight for Cigna Deal, Sees Obamacare Losses",By REUTERS,Health insurer Anthem Inc on Wednesday vowed to fight U.S. government efforts to block its planned acquisition of Cigna Corp and said it expects to lose money this year on its business selling individual health coverage under President Barack Obama's healthcare law.
2016-07-27T00:19:42Z,"In Contrast to Trump, Obama Lays Out Optimistic Vision for the U.S.",By REUTERS,President Barack Obama painted an optimistic picture of America's future in a rousing speech on Wednesday that offered full-hearted support to Hillary Clinton in her campaign to defeat Republican Donald Trump and become the first woman elected U.S. president.
2016-07-27T00:00:00Z,Democratic Convention Night 2: What You Missed,By THOMAS KAPLAN and NICHOLAS FANDOS,"After a turbulent beginning to Democratic National Convention, members of the party heard from Lena Dunham, Madeleine Albright and former President Bill Clinton, the night’s main attraction."
2016-07-25T01:19:53Z,DIVIDED AMERICA: Clinton Highlights Lack of Women in Office,By THE ASSOCIATED PRESS,"Hillary Clinton and Mary Thomas have little in common, except for this: They both hope to add to the meager ranks of America's female elected officials come January."
2016-07-25T01:17:00Z,DIVIDED AMERICA: Women a Minority of US Elected Officials,By THE ASSOCIATED PRESS,"Hillary Clinton and Mary Thomas have little in common, except for this: They both hope to add to the meager ranks of America's female elected officials come January."
2016-07-22T00:00:00Z,The World Roger Ailes Created,By JANE HALL,I sincerely doubt we would have had Donald Trump without him.
2016-07-22T00:00:00Z,Transcript: Donald Trump at the G.O.P. Convention,NA,"Following is a transcript of Donald J. Trump’s remarks at the Republican National Convention, as prepared for delivery by the campaign."
2016-07-22T00:00:41Z,"Aetna, Humana Map Legal Strategy to Salvage Merger",By REUTERS,"Health insurer Aetna Inc, whose $33 billion purchase of Humana Inc has been spurned by the U.S. government, faces a tough but not impossible legal battle to try to reinstate the deal."
2016-07-21T23:24:18Z,Text of Donald Trump's Speech to the GOP Convention,By THE ASSOCIATED PRESS,"Text of presidential nominee Donald Trump's speech to the Republican National Convention, as provided in advance by the Trump campaign."
2016-07-21T19:46:45Z,"Aetna, Humana Map Legal Strategy to Salvage Merger",By REUTERS,"Health insurer Aetna Inc, whose $33 billion purchase of Humana Inc has been spurned by the U.S. government, faces a tough but not impossible legal battle to try to reinstate the deal."
2016-07-21T09:28:52Z,"U.S. Moves to Block Massive Health Insurer Deals Led by Anthem, Aetna",By REUTERS,"U.S. antitrust officials on Thursday moved to block an unprecedented consolidation of the national health insurance market, filing a lawsuit against Anthem Inc's proposed purchase of Cigna Corp and Aetna Inc's planned acquisition of Humana Inc. "
2016-07-20T22:59:31Z,AP FACT CHECK: The GOP Rush to Blame Clinton,By THE ASSOCIATED PRESS,"Donald Trump's new running mate and other Republicans are wrongly accusing Hillary Clinton of speaking with indifference about the death of Americans in Benghazi, Libya &#8212; twisting her comments out of context to make their indictment."
2016-07-19T04:00:00Z,Winning the Campaign to Curb Teen Pregnancy,By TINA ROSENBERG,"Pregnancy among teenagers in America is falling, due to unpredicted influences. And Colorado is leading the way toward another drop."
2016-07-19T06:12:22Z,UnitedHealth Sees Further Losses for Obamacare Insurance,By REUTERS,"UnitedHealth Group Inc is still losing money on the individual insurance business created under U.S. President Barack Obama's national healthcare reform law due to customers' high medical costs, the company said on Tuesday."
2016-07-19T04:00:00Z,"Republican Platform Defends ‘Traditional’ Marriage, a Border Wall and Coal",By JEREMY W. PETERS,The Republican Party on Monday adopted perhaps its most socially conservative platform ever. Here are some excerpts.
2016-07-18T03:41:03Z,"With Millions Covered,' Repeal and Replace' Gets Riskier",By THE ASSOCIATED PRESS,"As Republicans gather to anoint their presidential ticket in Cleveland, uncompromising opposition to ""Obamacare"" is getting politically riskier."
2016-07-18T00:00:00Z,All Roads Lead to Cleveland,By ARTHUR C. BROOKS and GAIL COLLINS,The news has taken such a dark turn that politics almost feels like a welcome distraction.
2016-07-17T00:00:00Z,Obamacare’s Kindest Critic,By THE EDITORIAL BOARD,"The Affordable Care Act has accomplished a lot, but too many people are still left out."
2016-07-16T10:52:07Z,The Latest: Trump Campaign Names Staffers to Help Pence,By THE ASSOCIATED PRESS,The Latest on the 2016 race for president (all times local):
2016-07-17T00:00:00Z,A Cure for Trumpism,By ROSS DOUTHAT and REIHAN SALAM,The case for a conservative politics that stresses the national interest abroad and national solidarity at home.
2016-07-15T00:00:00Z,"At Donald Trump’s Convention, Matters of Control (and Self-Control)",By PATRICK HEALY,"For some Republicans, Mr. Trump’s fiery style has heightened their excitement about the four-day political pageant, while others are fearing what’s in store."
2016-07-14T00:00:00Z,College Men for Trump,By THOMAS B. EDSALL,White male college graduates play a bigger role in his nationalist movement than is commonly understood.
2016-07-13T16:16:27Z,"New Peak for US Health Care Spending: $10,345 Per Person",By THE ASSOCIATED PRESS,"The nation's health care tab this year is expected to surpass $10,000 per person for the first time, the government said Wednesday. The new peak means the Obama administration will pass the problem of high health care costs on to its successor."
2016-07-19T04:00:00Z,Obama on Obamacare’s Flaws: An Assessment,By REED ABELSON and MARGOT SANGER-KATZ,Two Times health reporters discuss the president’s frank analysis that the health law has weaknesses that need to be addressed.
2016-07-13T00:00:00Z,The (G.O.P.) Party’s Over,By THOMAS L. FRIEDMAN,"The Republican Party hasn’t been a productive part in a two-party democracy for a long time, but a crushing loss this fall could force it to change."
2016-07-13T00:00:00Z,Has Barack Obama Hurt Race Relations?,By FRANK BRUNI,"As the president spoke at a Dallas memorial, critics carped that he has set us back. Don’t believe it."
2016-07-17T04:00:00Z,Can the G.O.P. Senate Majority Survive Donald Trump?,By ROBERT DRAPER,The party’s most vulnerable down-ticket candidates try to escape the shadow of a presidential campaign that is imperiling their prospects in November.
2016-07-11T19:22:43Z,Obama Renews Call for U.S. Public Health Insurance Option,By REUTERS,President Barack Obama on Monday urged Congress to reconsider offering a government-run health insurance option alongside private plans on the exchanges created as part of his national healthcare law. 
2016-07-11T17:01:36Z,Obamacare 2.0: Obama Calls for Revisiting the Public Option,By THE ASSOCIATED PRESS,"President Barack Obama is laying out a blueprint for addressing unsolved problems with his signature health law, including a renewed call for a ""public option"" to let Americans buy insurance from the government."
2016-07-12T00:00:00Z,Obama Offers Ways to Improve His Health Care Law,By ROBERT PEAR,The president suggested creating a public plan like Medicare to promote competition and criticized pharmaceutical companies for failing to lower drug prices.
2016-07-11T10:43:21Z,Democrat Evan Bayh Expected to Run for Indiana Senate Seat,By THE ASSOCIATED PRESS,"Former Democratic Sen. Evan Bayh is expected to make another run for Senate in Indiana, Democratic officials said Monday, a development that would dramatically improve the party's chances to win back the vacant seat, and Senate control along with it."
2016-07-10T00:00:00Z,"Public Schools? To Kansas Conservatives, They’re ‘Government Schools’",By JULIE BOSMAN,Even some Republicans are worried that the use of the term portends less support for public education.
2016-07-09T00:00:00Z,"From Fallen Presidential Candidates, Bold Money Ideas Worth Another Look",By RON LIEBER,"Jeb Bush’s ideas on student loans, Bernie Sanders’s on credit scores and Marco Rubio’s on retirement investing offer improvement and needn’t cost taxpayers much."
2016-07-08T00:00:00Z,Rise in Health Premiums,NA,"A reader writes of Obamacare, “I’d rather pay more than have no insurance.”"
2016-07-07T11:20:37Z,U.S. Democrats Pressure Republicans for Bipartisan Zika Funding,By REUTERS,"The White House and congressional Democrats pressured Republicans on Thursday for bipartisan Zika-funding legislation, saying the public health battle against the mosquito-borne virus is being undercut by efforts to ram through a bill with less funding."
2016-07-07T00:00:00Z,"Hillary, Beyond Email",By GAIL COLLINS,It’s a good time for Clinton to make changes so she doesn’t win simply by default.
2016-07-04T07:21:05+0000,"Trump, Trade and Workers",By PAUL KRUGMAN,Bashing China doesn’t make you labor’s friend.
2016-07-03T16:04:32+0000,"John Philip Sousa IV, With Help From a Famous Surname, Dabbles in Politics",By JAMES BARRON,A great-grandson of the composer John Philip Sousa is working to keep Hillary Clinton from winning the presidency in November.
2016-06-28T23:00:00Z,Should the Veterans Health Care System be Privatized?,,
2016-06-28T21:36:33Z,Darryl Glenn Wins Colorado Republican Primary for Senate,By THE ASSOCIATED PRESS,"Darryl Glenn, a tea-party favorite from the conservative stronghold of Colorado Springs, decisively won Colorado's Republican U.S. Senate primary Tuesday and will face incumbent Democrat Michael Bennet in November."
2016-06-28T13:23:35Z,U.S. Lawmakers Deadlock on Zika Virus Funds,By REUTERS,"U.S. lawmakers deadlocked over funding to fight the Zika virus on Tuesday, as Senate Democrats blocked a Republican proposal they said fell short of the challenge posed by the mosquito-borne virus and hurt other health priorities."
2016-06-28T10:11:05Z,Divided Supreme Court Rejects Family Pharmacy's Religious Claim,By REUTERS,"A divided U.S. Supreme Court on Tuesday turned away an appeal by a family-owned pharmacy that cited Christian beliefs in objecting to providing emergency contraceptives to women under a Washington state rule, prompting a searing dissent by conservative Justice Samuel Alito."
2016-06-28T04:43:22Z,"For Obama, Setbacks From a Divided Supreme Court",By REUTERS,"The U.S. Supreme Court breaks for the summer this week, having dealt high-profile setbacks to President Barack Obama on issues important to his liberal legacy, notably on immigration and climate change."
2016-06-27T19:40:52Z,"For Obama, Setbacks From a Divided Supreme Court",By REUTERS,"The U.S. Supreme Court breaks for the summer this week, having dealt high-profile setbacks to President Barack Obama on issues important to his liberal legacy, notably on immigration and climate change."
2016-06-27T16:26:25Z,Funding to Fight Zika Virus Faces Uphill Battle in U.S. Senate,By REUTERS,"Funding to battle the Zika virus faces a struggle in the U.S. Senate this week, with Democrats scornful of a Republican proposal they say short-changes the challenge posed by the mosquito-borne virus as well as other health priorities."
2016-06-27T00:00:00Z,"Health Care in Washington, D.C.",NA,"A discussion from the D.C. Health Benefit Exchange Authority, about how it keeps insurance rates low."
2016-06-23T16:26:05Z,White House Threatens to Veto Republicans' Zika Funding Plan,By REUTERS,"The White House on Thursday threatened to veto the $1.1 billion approved by the U.S. House of Representatives to fight the Zika virus, blasting the measure for short-changing the administration's $1.9 billion funding request."
2016-06-23T04:57:16Z,AP FACT CHECK: Trump Peddles Suspect Claims About Clinton,By THE ASSOCIATED PRESS,"In a speech skewering Hillary Clinton, Donald Trump assigned her far more influence than she had as secretary of state as he blamed her directly for a host of foreign policy ills. He also peddled some suspect allegations that she used her time as the top diplomat to enrich herself."
2016-06-23T03:23:52Z,Republican Lawmakers Approve $1.1 Billion in New Zika Funds,By REUTERS,"The U.S. House of Representatives on Thursday agreed to $1.1 billion to fight the Zika virus, short-changing President Barack Obama's $1.9 billion funding request and angering Democrats by making other cuts to pay for it."
2016-06-23T00:00:00Z,Zika Deal in Congress Likely to Be Delayed Until After Recess,By DAVID M. HERSZENHORN,"Democrats said a tentative proposal had unrelated provisions they would never accept, including an effort to restrict government financing of Planned Parenthood."
2016-06-22T20:30:13Z,U.S. Senate Democratic Leader Dismisses Republicans' Zika Funding Proposal,By REUTERS,U.S. Senate Democratic leader Harry Reid said an agreement announced on Wednesday by House of Representatives Republicans on $1.1 billion in new funding to fight the Zika virus was not a serious response to the threat.
2016-06-22T19:45:34Z,Republican Lawmakers to Push $1.1 Billion in New Zika Funds,By REUTERS,"Republicans in the U.S. House of Representatives and Senate agreed on Wednesday to $1.1 billion to fight the Zika virus, a House Republican lawmaker said, shortchanging President Barack Obama's funding request and angering Democrats by making other cuts to pay for it."
2016-06-22T15:16:33Z,AP FACT CHECK: Trump's Distortions on Clinton,By THE ASSOCIATED PRESS,Donald Trump's fierce denunciation of Hillary Clinton on Wednesday was rife with distortion.
2016-06-22T06:03:58Z,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-06-22T00:05:54Z,House Republicans Unveil Healthcare Alternative to Obamacare,By REUTERS,"Republicans in the U.S. House of Representatives unveiled an alternative plan to overhaul the nation's healthcare system on Wednesday, slamming Obamacare even as they aimed to keep some of its more popular provisions."
2016-06-22T00:01:38Z,House Republicans Offer Proposals for Health Care Changes,By THE ASSOCIATED PRESS,"House Republicans on Wednesday unveiled new proposals to repeal and replace President Barack Obama's health care law, as Speaker Paul Ryan seeks to showcase a GOP governing agenda amid the tumult of the presidential campaign."
2016-06-21T16:08:46Z,Feds Will Use Tax Penalty Data to Find Uninsured Millennials,By THE ASSOCIATED PRESS,"With time running out for the Obama administration to prove the success of the Affordable Care Act, officials are aggressively targeting a group that could help turn things around: young people."
2016-06-22T00:00:00Z,Review: ‘White Trash’ Ruminates on an American Underclass,By DWIGHT GARNER,"This new book by Nancy Isenberg retells United States history through the perspective of a segment of the weak, the powerless and the stigmatized."
2016-06-18T18:30:20+0000,Trump in the Dumps,By MAUREEN DOWD,"If 70 percent of Americans don’t like you, is it too late to pivot?"
2016-06-15T19:18:10Z,"Yes, Obamacare Premiums Are Going Up",By REED ABELSON and MARGOT SANGER-KATZ,A new study shows health plans are asking for rate increases twice as high as last year’s. Two health reporters discuss what it means for the future.
2016-06-15T17:14:33Z,Business Highlights,By THE ASSOCIATED PRESS,
2016-06-15T03:20:00Z,Can Gun Control Still Pass Muster in the Supreme Court?,,
2016-06-15T05:59:56Z,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-06-15T00:00:00Z,Judge Rejects F.T.C. Effort to Block Health System Merger,By REED ABELSON,The decision is a significant setback in the agency’s attempt to police the industry during a flurry of deals among hospitals and physician groups.
2016-06-11T00:00:00Z,"Donald Trump, Racism and the Rule of Law",NA,"Is Donald Trump a threat to the rule of law, as some legal experts believe?"
2016-06-10T07:21:04+0000,Hillary and the Horizontals,By PAUL KRUGMAN,"In America, you can’t avoid the race question."
2016-06-07T21:20:17Z,GOP's Davidson Wins Ohio Race to Succeed Boehner,By THE ASSOCIATED PRESS,Republican Warren Davidson won a lopsided victory Tuesday in the special election for the Ohio congressional seat left vacant by former House Speaker John Boehner after nearly 25 years.
2016-06-07T13:46:35Z,Donald Trump Doesn’t Listen,By ANNA NORTH,
2016-06-07T10:40:00Z,Senate GOP Drops Push to 'Defund Obamacare',By THE ASSOCIATED PRESS,Republicans controlling the Senate are abandoning an effort to use their power over the federal purse strings to block implementation of the Affordable Care Act.
2016-06-12T00:00:00Z,Is the Election ‘Rigged’?,By EMILY BAZELON,Talking about politics in terms of cheating reflects widespread frustration — and may also create it.
2016-06-02T11:25:36Z,Obama's Supreme Court Lawyer to Step Down,By REUTERS,The Obama administration's top Supreme Court lawyer is leaving office at the end of June having won a string of major cases including fending off challenges to President Barack Obama's signature healthcare law and legalizing same-sex marriage.
2016-06-02T03:50:52Z,Insurance Rates Going Up: New Concerns for Obamacare,By THE ASSOCIATED PRESS,"Fresh problems for ""Obamacare"": The largest health insurer in Texas wants to raise its rates on individual policies by an average of nearly 60 percent, a new sign that President Barack Obama's overhaul hasn't solved the problem of price spikes."
2016-06-02T00:00:00Z,"Expanding Medicare Would Solve Some Problems, Create New Ones",By MARGOT SANGER-KATZ,"The Obamacare marketplace would inevitably be affected by the move, in ways that are tricky to predict."
2016-06-01T15:11:34Z,Correction: Health Overhaul-Texas Story,By THE ASSOCIATED PRESS,"In a story June 1 about health insurance premiums in Texas, The Associated Press, relying on information from Avalere Health LLC, reported erroneously that premiums in Vermont for the most popular kind of plan were expected to rise by an average of 44 percent. Avalere now estimates the average increase in Vermont will be 8 percent, not 44 percent. And the range of increases in the nine states Avalere studied is from 5 percent to 19 percent, not 5 percent to 44 percent."
2016-05-26T00:00:00Z,The Supreme Court’s Wishful Thinking About Compromise,By LINDA GREENHOUSE,The justices’ effort to encourage a deal on contraceptives for employees of religious nonprofits shows their deep divisions.
2016-05-26T00:00:00Z,"If Obamacare Is Ailing, Let’s Fix It",NA,"An insurance group blames high rates charged by drug companies and hospitals, and two other readers blame reimbursements that are too low."
2016-05-21T20:00:36+0000,Foes Point to ‘Con Man’ Trump and ‘Toxic’ Clinton,By NICK CORASANITI,"The Democrats hit Donald J. Trump hard on his claim to fame, his business skills. The Republicans tie Democratic candidates to Hillary Clinton’s baggage."
2016-05-22T00:00:00Z,Economic Promises a President Trump Could (and Couldn’t) Keep,By NELSON D. SCHWARTZ,"Much of what Donald Trump vows to accomplish in his first 100 days, if elected, is not feasible. But that doesn’t mean he wouldn’t have room to maneuver."
2016-05-20T00:00:00Z,Obama’s War on Inequality,By PAUL KRUGMAN,Two events this week highlight little-known progressive successes.
2016-05-19T06:48:24Z,Trump Identifies 11 Potential Supreme Court Nominees,By REUTERS,"Presumptive Republican U.S. presidential nominee Donald Trump on Wednesday unveiled the names of 11 judges - eight men and three women, all white and all conservative - he would consider, if elected, to replace the late Antonin Scalia on the Supreme Court."
2016-05-18T14:20:35Z,Trump Identifies 11 Potential Supreme Court Nominees,By REUTERS,"Presumptive Republican U.S. presidential nominee Donald Trump on Wednesday unveiled the names of 11 judges - eight men and three women, all white and all conservative - he would consider, if elected, to replace the late Antonin Scalia on the Supreme Court."
2016-05-19T00:00:00Z,Donald Trump and Conspiracy Theories: A Signal From 2011,By TONI MONKOVIC,"Mr. Trump led a G.O.P. poll five years ago, showing a willingness and ability to mine the anger and resentments of Republicans."
2016-05-19T00:00:00Z,"John McCain, Seeking Re-election, Releases Ad Against Likely Opponent",By CARL HULSE,"Facing a difficult race, Mr. McCain has released a television spot against Representative Ann Kirkpatrick, a Democrat, getting an early start against her in the Senate race."
2016-05-18T04:50:11Z,"Trump on North Korea, Wall Street Regulation, Tech Stocks",By REUTERS,NEW YORK - Presumptive Republican nominee Donald Trump told Reuters in a wide-ranging interview on Tuesday that he would be willing to talk to North Korean leader Kim Jong Un to try to stop Pyongyang's nuclear program.
2016-05-17T18:35:30Z,"Trump on North Korea, Wall Street Regulation, Tech Stocks",By REUTERS,NEW YORK - Presumptive Republican nominee Donald Trump told Reuters in a wide-ranging interview on Tuesday that he would be willing to talk to North Korean leader Kim Jong Un to try to stop Pyongyang's nuclear program.
2016-05-16T13:53:43Z,White House Says Women's Healthcare Access Not Threatened by Ruling,By REUTERS,"The White House said on Monday that millions of American women will continue to have access to health insurance that they need, despite the Supreme Court's ruling in a case involving contraception coverage under the Obamacare law."
2016-05-16T10:29:04Z,Supreme Court Dodges Major Decision on Obamacare Birth Control,By REUTERS,"The ideologically deadlocked Supreme Court on Monday failed to resolve a major case involving the Obamacare law's mandatory birth control coverage, telling lower courts to reconsider the matter after tossing out their rulings favoring President Barack Obama."
2016-05-16T05:59:45Z,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-05-16T01:18:42Z,"In Surprising Turnabout, Oklahoma Eyes Medicaid Expansion",By THE ASSOCIATED PRESS,"Despite bitter resistance in Oklahoma for years to President Barack Obama's health care overhaul, Republican leaders in this conservative state are now confronting something that alarms them even more: a huge $1.3 billion hole in the budget that threatens to do widespread damage to the state's health care system."
2016-05-14T18:30:05+0000,"Sorry, We Don’t Take Obamacare",By ELISABETH ROSENTHAL,The growing pains of the health care act are frustrating patients.
2016-05-13T17:03:37Z,"After Delay, Calorie Counts to Hit U.S. Restaurant Menus in 2017",By REUTERS,"U.S. restaurant owners will have an extra five months to post the calorie counts of the food they sell under a new federal deadline of May 5, 2017."
2016-05-12T13:36:17Z,Senate Sets Votes on Competing Zika Funding Plans,By REUTERS,"Three competing plans for battling a potential Zika virus outbreak in the United States were presented on the floor of the U.S. Senate on Thursday, as lawmakers tried to break an impasse pitting President Barack Obama against congressional Republicans."
2016-05-12T13:00:41Z,Judge Sides With House Republicans Against Health Care Law,By THE ASSOCIATED PRESS,"In a setback for the Obama health care law, a federal judge ruled Thursday that the administration is unconstitutionally subsidizing medical bills for millions of people while ignoring congressional power over government spending."
2016-05-15T00:00:00Z,When Did Optimism Become Uncool?,By GREGG EASTERBROOK,"Everyone seems to think the country is falling apart. In fact, it couldn’t be better."
2016-05-12T12:46:36Z,"Republicans Win Obamacare Legal Challenge, Add to Insurer Concerns",By REUTERS,"A U.S. judge on Thursday handed a victory to congressional Republicans who challenged President Barack Obama's signature healthcare law, ruling that his administration overstepped its constitutional powers relating to government spending."
2016-05-12T00:00:00Z,Blaming the Chief Justice,By LINDA GREENHOUSE,"Even before the Trump-focused accusations started, Roberts was well on his way to becoming the political right’s favorite punching bag."
2016-05-11T17:27:29Z,"Aetna Plans to Remain in Obamacare Markets, May Expand",By REUTERS,"Health Insurer Aetna Inc on Wednesday said it plans to  continue its Obamacare health insurance business next year in the 15 states where it now participates, and may expand to a few additional states."
2016-05-07T00:00:00Z,Get Ready for Higher Obamacare Rates Next Year,By MARGOT SANGER-KATZ,"Prices seem likely to rise, for a number of reasons. But don’t assume it means the Affordable Care Act is a failure."
2016-05-05T06:08:43Z,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-05-05T03:40:53Z,"Stirred by Sanders, Democrats Shift Left on Health Care",By THE ASSOCIATED PRESS,"More Democrats seem to be having doubts about the federal health care law, a contentious issue for most of President Barack Obama's tenure and one of the defining elements of his legacy."
2016-05-05T03:37:06Z,"How Trump Broke the Rules of Modern Politics, and Won Anyway",By THE ASSOCIATED PRESS,Polling? Who needs to do that? Fundraising? Can't be bothered. Parse your words? Fuhgetabout it.
2016-05-04T15:40:16Z,"How Trump Broke the Rules of Modern Politics, and Won Anyway",By THE ASSOCIATED PRESS,Polling? Who needs to do that? Fund-raising? Can't be bothered. Parse your words? Fuhgetabout it.
2016-05-04T00:38:13Z,Trump and the Lord’s Work,By THOMAS L. FRIEDMAN,"To get the nation’s politics unstuck, the intransigent version of the Republican Party had to be destroyed."
2016-05-02T19:44:12Z,Tenet Sees Competitors Picking Up UnitedHealth Exchange Business,By REUTERS,"Tenet Healthcare Corp, the third-largest U.S. for-profit hospital operator, expects other insurers to step in and absorb UnitedHealth Group Inc's share of the exchange market when the largest U.S. health insurance provider exits that business, company executives said on Monday."
2016-05-03T00:00:00Z,Missing From Medicare Advantage: True Competition,By AUSTIN FRAKT,"If past efforts are any guide, a White House proposal to inject competition and save billions is doomed."
2016-05-02T06:05:54Z,Indiana Puts Donald Trump&#8217;s Evangelical Support to Test,By REUTERS,Donald Trump's success in the race for the White House may well depend on the support of Republican evangelicals suspicious of the front-runner's more liberal side as he discloses his social views.
2016-04-30T04:00:00Z,What It’s Like to Write Jokes for President Obama,By DAVID LITT,"He’s a natural comedian, and his administration knows how to use that."
2016-04-28T16:36:19Z,"House Votes to Repeal U.S. Retirement Rule, Obama Threatens Veto",By REUTERS,"The U.S. House of Representatives voted on Thursday to repeal a Labor Department rule aimed at protecting retirement savers from profit-hungry brokers, a largely symbolic move that President Barack Obama has threatened to veto."
2016-04-28T12:57:00Z,The Idea of Trump&#8217;s Electability,By ROSS DOUTHAT,
2016-04-28T08:50:03Z,President Obama Weighs His Economic Legacy,By ANDREW ROSS SORKIN,"Eight years after the financial crisis, unemployment is at 5 percent, deficits are down and G.D.P. is growing. Why do so many voters feel left behind? The president has a theory."
2016-04-29T00:00:00Z,Colorado Weighs Replacing Obama’s Health Policy With Universal Coverage,By JACK HEALY,A ballot measure has put conservative critics in the unusual position of defending the Affordable Care Act against an assault from the left.
2016-04-28T03:42:46Z,Significant Premium Hikes Expected Under Obama Health Law,By THE ASSOCIATED PRESS,Insurers will seek significant premium hikes under President Barack Obama's health care law this summer - stiff medicine for consumers and voters ahead of the national political conventions.
2016-04-27T20:09:02Z,Ryan Wants to End Obamacare Cost Protections for Sick Consumers,By REUTERS,"U.S. House of Representatives Speaker Paul Ryan called on Wednesday for an end to Obamacare's financial protections for people with serious medical conditions, saying these consumers should be placed in state high-risk pools. "
2016-04-25T11:49:15Z,A Note on the Soda Tax Controversy,By PAUL KRUGMAN,
2016-04-22T00:00:00Z,"Ted Cruz Ad Says Donald Trump Is an Elite, Just Like Hillary Clinton",By NICK CORASANITI,"The Pennsylvania advertisement is a multilayered criticism of Mr. Trump and Mrs. Clinton, painting them as not understanding “working-class families.”"
2016-04-21T00:00:00Z,The Democrats After Sanders,By ROSS DOUTHAT,The next generation has ambitious ideas to stamp a thorough left-wing party. Can it build one?
2016-04-21T00:00:00Z,Obamacare Seems to Be Reducing People’s Medical Debt,By MARGOT SANGER-KATZ,A study builds on earlier evidence that offering the poor health insurance helps them avoid financial shocks.
2016-04-20T05:30:32Z,Dr. Thomas Farley Takes on Big Food and Big Tobacco,By ANAHAD O'CONNOR,
2016-04-19T18:32:18Z,UnitedHealth's Obamacare Exit Adds Pricing Pressure on Rivals,By REUTERS,"UnitedHealth Group Inc's decision to exit most of its Obamacare health insurance exchanges next year means rivals will need to raise prices further to prop up an unprofitable business, healthcare analysts and policy experts said on Tuesday."
2016-04-19T12:45:26Z,UnitedHealth Plans to Exit Obamacare Exchanges,By REUTERS,"U.S. health insurer UnitedHealth Group Inc on Tuesday said it would largely exit the Obamacare individual insurance market in 2017, citing expectations for mounting losses from the program."
